Time (s),Reference,Altitude,Tracking Error,Tracking Error Derivative,Tracking Error Second Derivative
15300.0,36000.0,35995.967741935485,4.03225806451519,0.4576938085327784,0.056924514656971306
15300.1,36000.0,35995.87365591398,4.126344086020911,0.45946334113771026,0.056802949618743895
15300.2,36000.0,35995.779569892475,4.220430107526632,0.46123287374264216,0.05668138458051649
15300.3,36000.0,35995.68548387097,4.3145161290306415,0.4630024063475418,0.05655981954229129
15300.4,36000.0,35995.591397849465,4.408602150536363,0.46477193895247365,0.05643825450406389
15300.5,36000.0,35995.49731182796,4.502688172042084,0.46654147155740555,0.056316689465836484
15300.6,36000.0,35995.403225806454,4.596774193547804,0.4683110041623374,0.05619512442760908
15300.7,36000.0,35995.30913978495,4.690860215053526,0.47008053676726924,0.056073559389381675
15300.8,36000.0,35995.215053763444,4.784946236557535,0.47185006937216895,0.055951994351156484
15300.9,36000.0,35995.12096774194,4.879032258063257,0.4736196019771008,0.05583042931292908
15301.0,36000.0,35995.026881720434,4.973118279568977,0.4753891345820327,0.055708864274701675
15301.1,36000.0,35994.93279569892,5.067204301074698,0.47715866718696454,0.05558729923647427
15301.2,36000.0,35994.83870967742,5.1612903225804185,0.4789281997918964,0.055465734198246866
15301.3,36000.0,35994.74462365592,5.2553763440844286,0.4806977323967961,0.05534416916002167
15301.4,36000.0,35994.65053763441,5.349462365590149,0.48246726500172793,0.055222604121794264
15301.5,36000.0,35994.5564516129,5.443548387095871,0.4842367976066598,0.05510103908356686
15301.6,36000.0,35994.4623655914,5.537634408601591,0.4860063302115917,0.054979474045339455
15301.7,36000.0,35994.36827956989,5.631720430107313,0.4877758628165235,0.05485790900711205
15301.8,36000.0,35994.27419354839,5.725806451611322,0.48954539542142317,0.05473634396888685
15301.9,36000.0,35994.18010752688,5.819892473117044,0.49131492802635507,0.05461477893065945
15302.0,36000.0,35994.086021505376,5.913978494622764,0.4930844606312869,0.054493213892432044
15302.1,36000.0,35993.99193548387,6.008064516128485,0.4948539932362188,0.05437164885420464
15302.2,36000.0,35993.897849462366,6.102150537634206,0.49662352584115066,0.054250083815977235
15302.3,36000.0,35993.80376344086,6.196236559138216,0.4983930584460503,0.054128518777752044
15302.4,36000.0,35993.709677419356,6.290322580643936,0.5001625910509822,0.05400695373952464
15302.5,36000.0,35993.61559139785,6.384408602149657,0.501932123655914,0.053885388701297235
15302.6,36000.0,35993.521505376346,6.478494623655378,0.503701656260846,0.05376382366306983
15302.7,36000.0,35993.42741935484,6.5725806451611,0.5054711888657778,0.053642258624842426
15302.8,36000.0,35993.333333333336,6.666666666665109,0.5072407214706774,0.05352069358661723
15302.9,36000.0,35993.23924731183,6.760752688170831,0.5090102540756093,0.053399128548389824
15303.0,36000.0,35993.145161290326,6.854838709676551,0.5107797866805411,0.05327756351016242
15303.1,36000.0,35993.05107526882,6.948924731182272,0.5125493192854731,0.053155998471935015
15303.2,36000.0,35992.956989247316,7.043010752687993,0.5143188518904049,0.05303443343370761
15303.3,36000.0,35992.86290322581,7.137096774192003,0.5160883844953046,0.05291286839548241
15303.4,36000.0,35992.768817204305,7.231182795697723,0.5178579171002364,0.05279130335725501
15303.5,36000.0,35992.67473118279,7.325268817203444,0.5196274497051683,0.052669738319027604
15303.6,36000.0,35992.58064516129,7.4193548387091655,0.5213969823101001,0.0525481732808002
15303.7,36000.0,35992.48655913978,7.513440860214887,0.523166514915032,0.052426608242572795
15303.8,36000.0,35992.39247311828,7.607526881718896,0.5249360475199317,0.052305043204347604
15303.9,36000.0,35992.29838709677,7.701612903224617,0.5267055801248636,0.0521834781661202
15304.0,36000.0,35992.20430107527,7.795698924730338,0.5284751127297954,0.052061913127892795
15304.1,36000.0,35992.11021505376,7.889784946236059,0.5302446453347273,0.051940348089665384
15304.2,36000.0,35992.01612903226,7.98387096774178,0.5320141779396592,0.051818783051437986
15304.3,36000.0,35991.92204301075,8.07795698924579,0.5337837105445589,0.05169721801321279
15304.4,36000.0,35991.82795698925,8.17204301075151,0.5355532431494907,0.051575652974985384
15304.5,36000.0,35991.73387096774,8.266129032257231,0.5373227757544226,0.05145408793675798
15304.6,36000.0,35991.63978494624,8.360215053762953,0.5390923083593544,0.051332522898530575
15304.7,36000.0,35991.54569892473,8.454301075268674,0.5408618409642862,0.05121095786030317
15304.8,36000.0,35991.45161290323,8.548387096772682,0.542631373569186,0.05108939282207797
15304.9,36000.0,35991.35752688172,8.642473118278403,0.5444009061741178,0.05096782778385057
15305.0,36000.0,35991.26344086022,8.736559139784124,0.5461704387790497,0.050846262745623164
15305.1,36000.0,35991.16935483871,8.830645161289846,0.5479399713839815,0.05072469770739576
15305.2,36000.0,35991.07526881721,8.924731182795567,0.5497095039889134,0.050603132669168355
15305.3,36000.0,35990.9811827957,9.018817204299577,0.5514790365938131,0.050481567630943164
15305.4,36000.0,35990.8870967742,9.112903225805297,0.553248569198745,0.05036000259271576
15305.5,36000.0,35990.79301075269,9.206989247311018,0.5550181018036768,0.050238437554488355
15305.6,36000.0,35990.69892473119,9.301075268816739,0.5567876344086087,0.050116872516260944
15305.7,36000.0,35990.604838709674,9.39516129032246,0.5585571670135405,0.049995307478033546
15305.8,36000.0,35990.51075268818,9.489247311826471,0.5603266996184402,0.04987374243980835
15305.9,36000.0,35990.416666666664,9.583333333332192,0.562096232223372,0.049752177401580944
15306.0,36000.0,35990.32258064516,9.677419354837912,0.563865764828304,0.04963061236335354
15306.1,36000.0,35990.228494623654,9.771505376343633,0.5656352974332358,0.049509047325126135
15306.2,36000.0,35990.13440860215,9.865591397849354,0.5674048300381677,0.04938748228689873
15306.3,36000.0,35990.040322580644,9.959677419353362,0.5691743626430673,0.04926591724867353
15306.4,36000.0,35989.94623655914,10.053763440859084,0.5709438952479992,0.04914435221044613
15306.5,36000.0,35989.852150537634,10.147849462364805,0.5727134278529311,0.049022787172218724
15306.6,36000.0,35989.75806451613,10.241935483870527,0.574482960457863,0.04890122213399132
15306.7,36000.0,35989.663978494624,10.336021505376248,0.5762524930627948,0.048779657095763915
15306.8,36000.0,35989.56989247312,10.430107526880256,0.5780220256676945,0.048658092057538724
15306.9,36000.0,35989.47580645161,10.524193548385977,0.5797915582726263,0.04853652701931132
15307.0,36000.0,35989.38172043011,10.618279569891698,0.5815610908775581,0.048414961981083915
15307.1,36000.0,35989.2876344086,10.712365591397418,0.5833306234824901,0.048293396942856504
15307.2,36000.0,35989.1935483871,10.80645161290314,0.5851001560874219,0.048171831904629106
15307.3,36000.0,35989.09946236559,10.90053763440715,0.5868696886923216,0.04805026686640391
15307.4,36000.0,35989.00537634409,10.994623655912871,0.5886392212972534,0.047928701828176504
15307.5,36000.0,35988.91129032258,11.088709677418592,0.5904087539021853,0.0478071367899491
15307.6,36000.0,35988.81720430108,11.182795698924313,0.5921782865071172,0.047685571751721695
15307.7,36000.0,35988.72311827957,11.276881720430033,0.5939478191120491,0.04756400671349429
15307.8,36000.0,35988.62903225807,11.370967741934043,0.5957173517169487,0.04744244167526909
15307.9,36000.0,35988.53494623656,11.465053763439766,0.5974868843218806,0.04732087663704169
15308.0,36000.0,35988.44086021506,11.559139784945486,0.5992564169268124,0.047199311598814284
15308.1,36000.0,35988.346774193546,11.653225806451207,0.6010259495317443,0.04707774656058688
15308.2,36000.0,35988.25268817204,11.747311827956928,0.6027954821366761,0.046956181522359475
15308.3,36000.0,35988.158602150535,11.841397849460936,0.6045650147415759,0.046834616484134284
15308.4,36000.0,35988.06451612903,11.935483870966658,0.6063345473465077,0.04671305144590688
15308.5,36000.0,35987.970430107525,12.029569892472379,0.6081040799514396,0.046591486407679475
15308.6,36000.0,35987.87634408602,12.1236559139781,0.6098736125563714,0.046469921369452064
